,0
Désignation, Lenovo V130-15IKB (81HN00FCFR)
Marque, LenovoLenovo
Modèle, 81HN00FCFR
Système d'exploitation, Windows 10Famille 64bits
Famille OS, Microsoft Windows 10
Langue de l'OS, Français
Système d'exploitation fourni, Oui
Marque processeur, Intel
Processeur, Intel Core i3
Plateforme (Proc.), Intel Kaby Lake
Type de processeur, Intel Core i3-7020U (Dual-Core 2.3GHz - Cache 3Mo)
Fréquence CPU, 2.3GHz
Nombre de core, 2
Taille de la mémoire, 4Go
Nombre de barrettes, 1
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2133MHz
Taille de mémoire Max, 12Go
Chipset graphique, Intel HD Graphics 620
Max-Q (Design GPU), Non
Ecran tactile, Non
Type de Dalle, Dalle TN
Type d'écran, LED
Taille de l'écran, 15.6pouces
Résolution Max, 1366x768pixels
Format de l'écran, 16/9
Ecran large, Oui
Dalle mate/antireflets, Oui
Dalle brillante, Non
NVIDIA G-SYNC, Non
VR Ready (réalité virtuelle), Non
Taux de rafraîchissement, 60Hz
Configuration disque(s), HDD-1To
Disque dur, 1To
Disque secondaire, Sans disque secondaire
Type de Disque, HDD (Hard Disk Drive)
Vitesse de rotation, 5400RPM
Interface du disque dur, Serial ATA
Nombre de disques, 1
Nombre de disques max, 2
Emplacement mSATA/M.2, M.2 (disponible)
Lecteur Optique," Graveur DVD,  Graveur CD,  Lecteur CD,  Lecteur DVD"
Lecteur de cartes," SD (Secure Digital),  Multimedia Card,  SDHC,  SDXC"
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil, Wi-Fi AC
Technologie Bluetooth, Bluetooth 4.1
Technologie Intel vPro, Non
Sans-fil, Oui
Webcam, Oui
Type de H.P, Intégrés
Norme du clavier, AZERTY
Localisation, Français
Clavier rétroéclairé, Non
Clavier RGB, Non
Pavé numérique, Oui
Lecteur biométrique, Non
Office fourni, Non
Connecteur(s) disponible(s)," Jack 3,5mm Femelle Stéréo,  1xRJ45,  2xUSB-3.0,  1xHDMI Femelle"
Couleur, Gris
Profondeur, 253mm
Largeur, 375mm
Epaisseur, 22.3mm
Poids, 1.8kg
Gamme, Lenovo série V
Ultrabook, Non
Hybride / Convertible, Non
Autonomie, 6Heure(s)
Nombre de cellules, 2
Batterie amovible, Non
Chargeur secteur USB-C, Non
Garantie commerciale, 1an constructeur
Garantie légale, Voir les modalités
