,0
Désignation, Corsair One Pro 1080Ti - 16Go
Marque, CorsairCorsair
Modèle, CS-9000009-EU
Système d'exploitation, Windows 10Famille 64bits
Système d'exploitation fourni, Oui
Plateforme (Proc.), Intel Kaby Lake
Type de processeur, Intel Core i7-7700K (Quad-Core 4.2GHz / 4.5GHz Turbo - Cache 8Mo)
Processeur, Intel Core i7
Fréquence CPU, 3.6GHz
Chipset, Intel Z270Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 2400MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 32Go
Configuration disque(s), SSD-480Go + HDD-2To
Disque dur, SSD-240Go
Disque secondaire, HDD-2To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - SATA-6Gb/s
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce GTX-1080Ti
Taille mémoire vidéo, 11Go
Type de multi-GPU, Aucun
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, 1xIntégré
Norme(s) réseau, 10/100/1000Mbps
Norme(s) réseau sans-fil," Bluetooth 4.1,  Wi-Fi AC"
Connecteurs panneau avant," 1xHDMI-2.0Femelle,  1xUSB-3.1"
Connecteurs panneau arrière," 1xAudio numérique S/PDIF Optique,  1xHDMI Femelle,  2xUSB-2.0,  2xSMA Femelle,  1xRJ45Femelle,  5xJack 3,5mm Femelle Stéréo,  3xUSB-3.0,  2xDisplayPort Femelle,  1xUSB-3.1Type C Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Largeur, 200mm
Hauteur, 380mm
Profondeur, 176mm
Poids, 7.4kg
Puissance, 500W
Monté, Oui
Garantie légale, Voir les modalités
